Antib,works_s,works_a,works_b
amikacine,y,n,n
amoxilline,y,n,n
amoxilline - clavulaanzuur,y,m,n
ampicilline,n,n,n
azithromycine,m,n,n
aztreonam,y,n,n
azythromycine,m,n,n
benzylpenicilline,n,n,n
cefazoline,y,n,n
cefotaxim,y,n,n
ceftazidim,y,n,n
ceftriaxon,y,n,n
cefuroxim,y,n,n
ciprofloxacine,y,n,n
clarithromycine,n,n,n
clindamycine,n,n,n
colistimethaat natrium,y,y,y
colistine,y,y,y
doxycycline,y,y,n
flucloxacilline,n,n,n
fosfomycine trometamol,y,y,n
gentamicine,y,n,n
levofloxacine,y,n,n
linezolid,n,n,n
meropenem,y,y,n
metronidazol,n,n,n
moxifloxacine,m,n,n
nitrofurantoine,y,n,n
norfloxacine,y,n,n
oxacilline nartrium,n,n,n
piperacilline - tazobactam,y,m,n
rifampicine,n,n,n
sulfamethoxazol - trimethoprim,y,n,n
teicoplanine,n,n,n
temocilline,y,y,n
tigecycline,y,y,y
tobramycine sulfaat,y,n,n
vancomycine hydrochloride,n,n,n
