hazard,time
0.168850562,2.1
0.340709426,3
0.500890644,4
0.641864001,5
0.772291076,6
0.772291076,6.1
0.899504666,7
0.900033604,7.1
1.008900319,8
1.008900319,8.1
1.107090545,9
1.107090545,9.1
1.198417852,10
1.299288624,11
1.380503649,12
1.470524333,13
1.568514468,14
1.635309153,15
1.635309153,15.1
1.739433068,16
1.802961064,17
1.891688546,18
1.947884106,19
2.009690581,20
2.078332528,21
2.143916236,22
2.219429903,23
2.310440192,24
2.390865487,25
2.459531317,26
2.509736472,27
2.588535173,28
2.670286825,29
2.724651233,30
2.791414975,31
2.877820266,32
2.91914526,33
3.031338862,34
3.049335337,35
3.080518026,36
3.139008176,37
3.187341987,38
3.253791827,39
3.317208253,40
3.350770535,41
3.35934011,42
3.468541131,43
3.560571168,44
3.626846994,45
3.662118238,46
3.712402818,47
3.765857187,48
3.836349865,49
3.836349865,50
3.896436148,51
3.943930352,52
4.029476191,53
4.103872504,54
4.163543013,55
4.184251512,56
4.205397922,57
4.274933626,58
4.349216717,60
4.429463412,61
4.488468867,62
4.51933064,64
4.550803299,65
4.583298674,66
4.689980595,67
4.728229302,68
4.728229302,69
4.769019422,70
4.811544131,72
4.858021732,73
4.906764794,74
5.069105094,77
5.193342499,78
5.193342499,79
5.335219153,84
5.496944799,85
5.588799111,86
5.689944019,91
5.797960225,93
5.797960225,99
5.929040119,104
6.079893912,113
6.079893912,127
6.279893912,131
6.529893912,134
6.863227246,159
6.863227246,165
7.477125261,179
8.477125261,328
