"","beta","d","d_i","a_c","a_i","p_A","p_B","c1","c2","f_cA","f_cB","f_clast","f_isA","f_iaA","r","ts","s_1","s_2","p_c","f_ib_last","cycl_period","alt_cycl_period","cycling","rdt","pS0","pCs0","pCa0","pCb0","pIs0","pIa0","pIb0","N","t"
"1",0.24,9,0.86,0.05,0.002,0,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"42",0.24,9,0.86,0.05,0.002,0,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"83",0.24,9,0.86,0.05,0.002,0,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"124",0.24,9,0.86,0.05,0.002,0,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"165",0.24,9,0.86,0.05,0.002,0,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"206",0.24,9,0.86,0.05,0.002,0,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"247",0.24,9,0.86,0.05,0.002,0,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"288",0.24,9,0.86,0.05,0.002,0,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"329",0.24,9,0.86,0.05,0.002,0,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"370",0.24,9,0.86,0.05,0.002,0,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"411",0.24,9,0.86,0.05,0.002,0,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"452",0.24,9,0.86,0.05,0.002,0,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
