,beta,d,d_i,a_c,a_i,p_A,p_B,c1,c2,f_cA,f_cB,f_clast,f_isA,f_iaA,r,ts,s_1,s_2,p_c,f_ib_last,cycl_period,alt_cycl_period,cycling,rdt,pS0,pCs0,pCa0,pCb0,pIs0,pIa0,pIb0,N,t
1,0.027,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
2,0.06,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
3,0.11,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
4,0.18,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
5,0.24,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
6,0.111,4,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
7,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
8,0.111,12,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
9,0.111,16,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
10,0.111,20,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
11,0.111,9,0.4,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
12,0.111,9,0.55,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
13,0.111,9,0.7,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
14,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
15,0.111,9,1,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
16,0.111,9,0.86,0,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
17,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
18,0.111,9,0.86,0.1,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
19,0.111,9,0.86,0.15,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
20,0.111,9,0.86,0.2,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
21,0.111,9,0.86,0.05,0,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
22,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
23,0.111,9,0.86,0.05,0.008,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
24,0.111,9,0.86,0.05,0.016,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
