,var_change,var_value
1,beta,0.027
2,beta,0.06
3,beta,0.11
4,beta,0.18
5,beta,0.24
6,d,4
7,d,9
8,d,12
9,d,16
10,d,20
11,d_i,0.4
12,d_i,0.55
13,d_i,0.7
14,d_i,0.86
15,d_i,1
16,a_c,0
17,a_c,0.05
18,a_c,0.1
19,a_c,0.15
20,a_c,0.2
21,a_i,0
22,a_i,0.002
23,a_i,0.008
24,a_i,0.016
25,a_i,0.032
26,p_A,0
27,p_A,0.2
28,p_A,0.4
29,p_A,0.6
30,p_A,0.8
31,p_B,0
32,p_B,0.2
33,p_B,0.4
34,p_B,0.6
35,p_B,0.8
36,c1,0.2
37,c1,0.4
38,c1,0.6
39,c1,0.8
40,c1,1
41,c2,0.2
42,c2,0.4
43,c2,0.6
44,c2,0.8
45,c2,1
46,f_cA,0
47,f_cA,0.1
48,f_cA,0.2
49,f_cA,0.3
50,f_cA,0.4
51,f_cB,0
52,f_cB,0.1
53,f_cB,0.2
54,f_cB,0.3
55,f_cB,0.4
56,f_clast,0
57,f_clast,0.25
58,f_clast,0.5
59,f_clast,0.75
60,f_clast,1
61,f_is_A,0
62,f_is_A,0.25
63,f_is_A,0.5
64,f_is_A,0.75
65,f_is_A,1
66,f_ia_A,0
67,f_ia_A,0.25
68,f_ia_A,0.5
69,f_ia_A,0.75
70,f_ia_A,1
71,r,3
72,r,6
73,r,9
74,r,12
75,r,15
76,ts,0
77,ts,2
78,ts,3
79,ts,5
80,ts,10
81,s_1,0
82,s_1,0.001
83,s_1,0.01
84,s_1,0.1
85,s_1,0.2
86,s_2,0
87,s_2,0.001
88,s_2,0.01
89,s_2,0.1
90,s_2,0.2
91,p_c,0
92,p_c,0.01
93,p_c,0.03
94,p_c,0.05
95,p_c,0.07
96,cycl_period,15
97,cycl_period,30
98,cycl_period,90
99,cycl_period,180
